============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 3400000.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Skin_Human (W&W type 1)
  Layer # 4 -  0 % of Na
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   7.9808E+07  1.4487E+06 -4.0915E+05
0000002   8.1992E+07  2.2778E+06 -8.1091E+04
0000003   8.0401E+07  3.2294E+05  1.7362E+05
0000004   8.2127E+07  3.5966E+05 -4.0483E+05
0000005   8.2223E+07 -1.0479E+06  2.7190E+06
0000006   8.1438E+07 -2.6255E+05 -1.0880E+06
0000007   8.3077E+07  2.0882E+06  4.0438E+05
0000008   8.0268E+07  5.3980E+05  7.5812E+05
0000009   8.2450E+07  2.5854E+06  6.5488E+04
0000010   8.0913E+07 -6.3532E+04 -1.6851E+06
0000011   8.1790E+07  3.7764E+06 -1.0175E+07
0000012   8.1875E+07 -1.5238E+06 -2.1548E+06
0000013   8.0432E+07  7.5731E+05 -1.1904E+06
0000014   7.9440E+07 -1.7789E+06 -1.3573E+06
0000015   8.2415E+07  1.0840E+06 -1.0330E+06
0000016   8.1681E+07  8.2983E+05 -6.8243E+05
0000017   7.8745E+07  3.1304E+05 -5.1977E+06
0000018   8.1849E+07 -2.3226E+06 -3.2740E+06
0000019   8.1882E+07  1.5700E+06  2.8943E+06
0000020   8.0950E+07 -5.0508E+04  1.4631E+05
0000021   7.8977E+07 -1.6641E+06 -2.3951E+06
0000022   7.8618E+07  2.4085E+04  8.3038E+05
0000023   8.0639E+07  2.0799E+06 -1.0217E+06
0000024   8.1283E+07  2.4379E+06  3.2551E+06
0000025   8.2744E+07  1.1372E+06 -2.7663E+06
0000026   8.0278E+07 -8.3759E+05 -2.8603E+06
0000027   8.0981E+07 -4.7521E+06  2.0904E+06
0000028   8.2350E+07  5.2170E+05  8.4421E+05
0000029   7.8957E+07  1.9003E+04  1.6337E+06
0000030   8.1271E+07  1.9321E+05  3.3190E+05
0000031   8.0309E+07  1.7571E+05  2.5021E+06
0000032   8.1800E+07 -7.8192E+05  7.9028E+05
0000033   8.1454E+07 -1.6344E+06  1.1663E+06
0000034   7.9961E+07  2.4366E+05  1.3080E+06
0000035   8.2825E+07 -2.8266E+06 -2.2533E+06
0000036   7.9967E+07  2.6984E+06  1.9652E+06
0000037   7.8610E+07  1.7384E+06  9.9370E+05
0000038   7.8462E+07 -3.7279E+06  7.7467E+06
0000039   8.0682E+07 -1.4342E+06  9.7163E+05
0000040   7.9778E+07  4.3111E+05  2.0738E+06
0000041   7.9378E+07  1.6961E+05  1.1847E+06
0000042   8.3437E+07  9.2820E+04 -2.4704E+05
0000043   7.9851E+07 -6.7552E+05  2.9405E+06
0000044   8.0102E+07 -2.2486E+06  1.9008E+06
0000045   8.0780E+07 -3.4080E+06  6.8136E+05
0000046   8.1092E+07 -4.6575E+06 -5.7603E+05
0000047   8.1356E+07 -1.8890E+06  2.1044E+06
0000048   7.9984E+07 -1.1104E+06 -5.9094E+05
0000049   8.2163E+07  2.5897E+06  1.2866E+05
0000050   7.9949E+07  1.8267E+06 -1.0931E+06
0000051   8.0871E+07 -2.4871E+05  1.3976E+06
0000052   8.1025E+07  1.4918E+05  7.6135E+05
0000053   7.9749E+07  2.0290E+06 -2.0396E+06
0000054   7.8074E+07  2.1522E+06  1.4136E+06
0000055   8.2326E+07  9.7176E+04  6.9263E+05
0000056   8.0549E+07 -2.0606E+06  4.4401E+05
0000057   8.1074E+07  4.0623E+04  2.5891E+06
0000058   7.8179E+07 -2.4414E+06 -1.2072E+06
0000059   8.1845E+07  6.2681E+05 -2.5333E+03
0000060   8.2160E+07  2.6274E+06  1.2686E+05
0000061   8.1002E+07  1.1937E+06 -1.3402E+06
0000062   8.1107E+07 -2.2112E+06  4.7548E+05
0000063   8.1996E+07 -3.5271E+06 -9.2512E+05
0000064   7.8273E+07 -7.4485E+05 -1.5964E+07
0000065   7.9668E+07 -3.9352E+05  1.0967E+05
0000066   8.0088E+07 -3.6959E+06  4.8570E+05
0000067   8.0723E+07  1.3647E+06  2.0817E+06
0000068   8.0392E+07 -3.3411E+06  3.0000E+05
0000069   8.0551E+07 -5.1817E+05 -2.8184E+06
0000070   8.0177E+07 -2.0440E+05  1.2771E+06
0000071   7.8561E+07  4.9743E+05 -4.7795E+04
0000072   8.0660E+07 -3.0000E+05 -3.5771E+06
0000073   8.0158E+07 -1.8973E+06  3.4604E+06
0000074   8.1989E+07  8.8872E+05  7.9652E+05
0000075   8.0576E+07  5.5019E+05  7.5430E+05
0000076   7.9153E+07 -1.2231E+06  1.1432E+06
0000077   7.8969E+07 -1.8250E+06  5.6479E+05
0000078   8.2104E+07 -1.2422E+06  6.4463E+05
0000079   8.0600E+07 -3.2003E+04  1.1259E+04
0000080   8.0858E+07  1.2939E+06  1.6084E+06
0000081   8.0317E+07  3.7068E+05  1.2736E+06
0000082   7.9302E+07 -3.0037E+06  5.8305E+05
0000083   8.2356E+07 -1.0110E+06  2.0352E+06
0000084   8.2162E+07  1.5311E+06 -9.9897E+05
0000085   7.9677E+07 -3.8864E+06 -1.7335E+06
0000086   8.0599E+07  1.3925E+06 -4.3277E+05
0000087   8.0785E+07  9.5715E+05  1.9155E+06
0000088   7.8576E+07 -8.7746E+05 -6.2908E+05
0000089   7.7930E+07 -1.5576E+06 -2.4508E+05
0000090   8.0220E+07  3.6562E+05  4.2334E+05
0000091   8.1230E+07 -2.2910E+06  4.4650E+06
0000092   7.8037E+07 -3.0612E+06 -1.0664E+07
0000093   8.0634E+07 -2.6796E+06  2.0977E+06
0000094   8.1446E+07 -1.6615E+05  1.7948E+06
0000095   8.0126E+07 -2.1401E+06  4.6345E+05
0000096   8.1205E+07  2.1445E+06 -2.6886E+06
0000097   8.0657E+07 -6.9873E+05 -1.0292E+06
0000098   8.0283E+07  6.9873E+05  6.0692E+05
0000099   7.8078E+07  9.6549E+05  2.4618E+06
0000100   7.9582E+07 -5.4835E+06 -1.0680E+06
0000101   8.0374E+07 -5.8450E+05  1.2286E+06
0000102   8.0315E+07  1.2776E+06 -7.6665E+05
0000103   8.1911E+07  1.6323E+06 -1.5161E+05
0000104   8.3496E+07  3.3617E+06  3.2453E+06
0000105   8.0585E+07  1.1154E+06  5.0064E+06
0000106   7.9358E+07 -1.2366E+06 -2.3748E+06
0000107   8.1243E+07 -1.0434E+06  1.3320E+06
0000108   7.8540E+07 -5.0200E+06  2.9311E+06
0000109   8.1925E+07 -1.0146E+06  3.6779E+05
0000110   7.9461E+07 -3.2630E+06 -1.3407E+06
0000111   7.8854E+07 -9.1082E+05  1.3048E+06
0000112   7.8783E+07  3.1317E+06  1.3318E+06
0000113   7.8841E+07  1.2175E+06 -4.0090E+05
0000114   7.9595E+07  1.5472E+05  9.6399E+05
0000115   8.1590E+07  1.4804E+06  1.7773E+06
0000116   7.9240E+07 -1.7594E+06  2.5212E+06
0000117   8.1002E+07  1.1189E+06 -1.1259E+06
0000118   8.0231E+07 -3.1554E+06 -6.4579E+06
0000119   8.4066E+07  3.7214E+05  9.5627E+05
0000120   8.1116E+07 -2.4467E+05 -4.5913E+06
0000121   8.1448E+07  8.3972E+05 -2.6985E+06
0000122   7.9868E+07 -1.1614E+06  1.6997E+06
0000123   7.9572E+07  1.3194E+06 -4.2676E+06
0000124   7.8142E+07  3.2186E+06  1.1515E+06
0000125   8.0926E+07 -5.7541E+05 -7.4307E+05
0000126   8.0097E+07 -1.6737E+06 -1.5830E+06
0000127   8.1053E+07  1.3832E+05  1.9135E+06
0000128   8.2602E+07  2.7470E+06  3.4122E+06
0000129   8.0486E+07 -1.0536E+06 -1.9554E+06
0000130   8.0568E+07 -1.9812E+05 -8.5543E+05
0000131   7.8533E+07  2.1615E+06 -5.9839E+05
0000132   8.0951E+07  7.4733E+05  3.1187E+06
0000133   8.1443E+07 -2.2944E+05 -2.5864E+06
0000134   8.0336E+07 -2.0963E+06  8.9014E+05
0000135   8.0917E+07  1.7593E+06 -2.3687E+06
0000136   7.9378E+07  2.1160E+06 -1.7259E+06
0000137   8.2304E+07 -1.9264E+06  1.4607E+06
0000138   8.2823E+07 -2.4867E+06  6.5115E+04
0000139   8.1884E+07 -1.0519E+06  9.0355E+05
0000140   7.9974E+07 -2.1349E+06 -9.7063E+05
0000141   7.9412E+07  2.4040E+06  4.0723E+05
0000142   7.8198E+07 -2.4165E+06 -1.1712E+06
0000143   8.0536E+07  2.2123E+06  2.9656E+05
0000144   8.0498E+07 -5.3070E+05  8.7445E+05
0000145   8.1512E+07  1.7907E+06 -7.2218E+05
0000146   8.2833E+07 -2.6104E+06 -1.0940E+06
0000147   7.9578E+07  4.4857E+06 -1.1640E+06
0000148   8.1550E+07  2.0076E+05  9.5272E+05
0000149   8.1636E+07 -5.0630E+05 -1.1984E+06
0000150   8.1663E+07 -3.1411E+05  7.6885E+05
0000151   7.7532E+07 -3.0516E+06  2.1193E+05
0000152   7.8979E+07  2.8934E+06 -1.9857E+06
0000153   7.8518E+07 -4.9212E+05 -3.0886E+06
0000154   7.9643E+07 -1.8052E+06  5.5319E+05
0000155   8.0502E+07  2.5665E+06 -5.2227E+06
0000156   7.9194E+07  2.0872E+05 -9.2405E+05
0000157   8.0655E+07 -6.3722E+06 -5.8902E+05
0000158   7.9809E+07  1.9805E+05  8.9053E+05
0000159   8.2450E+07  2.0027E+06  5.3738E+05
0000160   8.1633E+07 -3.7637E+05  1.0098E+06
0000161   8.3787E+07 -8.8350E+05 -1.0613E+06
0000162   8.2380E+07  4.2271E+05  4.4458E+05
0000163   7.9285E+07  3.1175E+05 -1.9858E+06
0000164   8.1486E+07  9.1653E+05  1.0494E+06
0000165   7.8610E+07 -7.6661E+05  2.2174E+06
0000166   8.1856E+07 -3.1763E+06 -5.1207E+06
0000167   7.9865E+07 -1.8067E+06 -1.4161E+06
0000168   8.1927E+07 -5.9086E+06 -3.1479E+06
0000169   8.1423E+07 -3.2047E+05  4.3554E+05
0000170   8.1251E+07  1.5771E+06  5.1469E+06
0000171   8.1395E+07  1.2217E+06 -2.4651E+06
0000172   8.0035E+07  7.6384E+05 -3.4926E+06
0000173   7.8511E+07 -4.1340E+05 -4.2114E+06
0000174   8.0661E+07  2.8260E+06 -1.9468E+06
0000175   8.2659E+07 -2.7008E+05 -8.0985E+04
0000176   7.8963E+07  1.6701E+06  3.6195E+04
0000177   8.1835E+07  6.9447E+05  2.0110E+06
0000178   8.2402E+07  5.6279E+04  2.4056E+06
0000179   8.1154E+07 -1.0804E+06  1.7330E+06
0000180   8.1209E+07  3.5110E+05  2.1673E+06
0000181   8.2271E+07 -3.2264E+06 -1.4506E+06
0000182   8.0001E+07  2.2844E+06  1.3916E+07
0000183   7.9324E+07 -3.9640E+06  2.0382E+06
0000184   7.9866E+07  2.7182E+06  4.3106E+05
0000185   8.0301E+07  6.5982E+05 -6.7086E+05
0000186   7.9834E+07 -5.4113E+05 -1.2591E+06
0000187   8.1994E+07 -2.0171E+06  1.8036E+06
0000188   8.0579E+07  2.6334E+06 -3.2487E+05
0000189   8.1212E+07  6.4499E+05  1.2635E+06
0000190   7.9725E+07  1.0426E+06 -2.1140E+05
0000191   7.9388E+07  3.6650E+05 -3.8383E+06
0000192   8.0013E+07 -7.0414E+05 -1.0099E+06
0000193   8.0151E+07  4.3637E+05  1.2815E+06
0000194   8.3855E+07 -2.9899E+06 -3.4244E+06
0000195   7.9833E+07 -1.3182E+05 -1.0611E+06
0000196   7.9520E+07  1.9954E+06 -9.9471E+04
0000197   8.0411E+07 -1.1363E+06 -9.9860E+06
0000198   7.8802E+07 -2.0078E+06  8.3049E+05
0000199   7.9643E+07 -5.2258E+04  1.7341E+06
0000200   8.3414E+07  1.8928E+06 -1.1678E+06
0000201   8.0786E+07  7.2081E+04  2.8816E+05
0000202   8.1104E+07  1.6074E+05 -2.9966E+06
0000203   7.8171E+07  8.2666E+05 -2.5403E+06
0000204   8.0018E+07 -1.1145E+06  1.2861E+06
0000205   8.1357E+07 -2.8619E+05  7.3338E+05
0000206   8.2881E+07 -6.1342E+05 -5.8056E+05
0000207   8.3302E+07  2.2798E+06 -8.6102E+05
0000208   8.1566E+07 -1.9295E+06 -3.2274E+06
0000209   8.3688E+07  3.8858E+04 -3.2448E+06
0000210   8.1151E+07 -1.8533E+06 -2.7179E+06
0000211   8.0912E+07 -3.5062E+06 -4.0624E+06
0000212   7.8446E+07 -1.5020E+05 -1.1396E+06
0000213   7.9568E+07 -1.4870E+06  5.2123E+05
0000214   7.9822E+07 -1.1496E+06 -1.2556E+06
0000215   8.1080E+07 -9.6925E+05  2.7135E+05
0000216   8.0903E+07  2.0808E+06  2.0508E+06
0000217   7.9946E+07  1.1582E+07 -1.0627E+06
0000218   7.8919E+07  1.6105E+06  4.0127E+04
0000219   7.9426E+07 -6.2643E+05  5.8354E+05
0000220   8.0880E+07 -1.8639E+06  2.2780E+06
0000221   8.1480E+07 -3.9300E+06  1.4860E+06
0000222   8.1249E+07 -2.5533E+06 -1.5019E+06
0000223   7.9123E+07 -1.2356E+05 -6.2711E+05
0000224   8.0221E+07 -1.9289E+05  2.1877E+06
0000225   7.8936E+07  4.6470E+05  1.1128E+06
0000226   8.1374E+07  2.6362E+06  1.8570E+06
0000227   7.8620E+07  1.2772E+06 -2.5484E+06
0000228   8.1371E+07 -2.8506E+05  8.5946E+05
0000229   7.9541E+07  7.1035E+05  1.6693E+06
0000230   7.8854E+07 -1.2403E+06  9.8770E+05
0000231   8.1885E+07  3.0824E+05 -2.4941E+06
0000232   8.0664E+07  1.6398E+06 -8.1445E+05
0000233   8.1323E+07 -1.3859E+06  1.8139E+05
0000234   8.2222E+07  2.8255E+05  9.7361E+05
0000235   8.1589E+07  1.2484E+05  5.9203E+05
0000236   8.0347E+07 -3.2238E+06  7.5298E+05
0000237   7.9459E+07 -2.8231E+06 -1.5487E+06
0000238   7.9278E+07 -9.5490E+05  1.4054E+06
0000239   7.9873E+07 -3.1289E+06  1.5945E+06
0000240   7.8386E+07  2.9637E+06  2.4500E+06
0000241   8.3037E+07  1.0106E+06 -4.2972E+05
0000242   8.2266E+07  4.1258E+05 -3.4377E+06
0000243   8.0356E+07  1.1907E+06  1.5928E+05
0000244   7.8707E+07  1.5325E+06  1.0918E+06
0000245   8.2688E+07 -3.9671E+06  1.4255E+06
0000246   8.0865E+07 -6.0120E+05  2.1499E+05
0000247   7.8865E+07 -2.7949E+06  1.0837E+06
0000248   7.8278E+07 -2.7279E+06  2.8860E+06
0000249   8.0697E+07 -1.2146E+06  4.8622E+05
0000250   7.9364E+07  1.8051E+06 -1.0492E+06
0000251   8.0902E+07  2.0602E+06  2.9470E+06
0000252   7.9443E+07 -2.2961E+06  1.6640E+06
0000253   7.9220E+07  4.6591E+04  1.5086E+06
0000254   7.9322E+07 -6.9254E+05 -6.9653E+06
0000255   7.9010E+07 -2.2407E+06  1.9569E+06
0000256   8.1388E+07  1.5169E+06  7.6873E+05
0000257   8.1492E+07 -2.0011E+06  4.9694E+05
0000258   8.1991E+07  3.1540E+05 -2.0589E+06
0000259   8.0275E+07 -1.6434E+05  2.6151E+05
0000260   8.1077E+07 -3.1058E+06  1.3749E+05
0000261   8.2332E+07  2.1908E+06 -1.0959E+06
0000262   8.1814E+07  1.9829E+06 -1.5661E+06
0000263   7.9546E+07 -8.2308E+05 -2.0033E+06
0000264   8.0990E+07 -9.5384E+05  8.4867E+05
0000265   7.9407E+07  8.2370E+04 -2.3968E+06
0000266   8.0793E+07  4.1596E+06  5.1128E+05
0000267   8.2075E+07  2.0355E+06 -1.5371E+06
0000268   7.9406E+07  1.4372E+06  5.2268E+05
0000269   8.2106E+07  1.9559E+06 -2.3727E+06
0000270   8.0118E+07 -2.9655E+06 -7.8778E+05
0000271   7.9933E+07 -1.1903E+06 -1.5370E+05
0000272   8.1433E+07 -4.8502E+05  4.8896E+05
0000273   8.0129E+07 -1.0856E+06  1.1253E+06
0000274   7.9183E+07 -5.5281E+05 -1.3650E+06
0000275   8.0525E+07 -2.8760E+05  1.0048E+06
0000276   8.2000E+07 -1.1837E+06 -1.1076E+06
0000277   8.1782E+07 -5.0492E+06 -4.7976E+06
0000278   7.9923E+07 -2.4300E+05  1.4383E+06
0000279   7.9791E+07  8.7509E+05  3.4272E+06
0000280   8.2342E+07 -7.4340E+05 -5.1370E+05
0000281   7.9584E+07  5.1577E+05  7.6533E+05
0000282   8.1952E+07  2.2652E+06 -5.5531E+05
0000283   8.0346E+07 -2.5426E+06 -1.1194E+06
0000284   7.7605E+07  5.4932E+05 -2.0630E+06
0000285   7.9384E+07  1.8432E+06  7.2352E+05
0000286   7.9669E+07 -1.1354E+05 -8.0108E+05
0000287   8.0217E+07  7.4804E+05 -6.2294E+06
0000288   7.9635E+07 -1.4186E+06  2.7725E+06
0000289   7.8566E+07  2.3836E+06  1.5663E+06
0000290   7.9842E+07  4.5094E+05  4.0979E+05
0000291   8.0295E+07 -1.9915E+06  9.0271E+05
0000292   7.9817E+07  2.5368E+06 -4.2685E+05
0000293   8.1100E+07  5.8598E+05 -2.2102E+05
0000294   8.0522E+07 -3.6770E+05  2.3904E+06
0000295   8.3323E+07 -1.2752E+06 -1.5030E+06
0000296   8.0956E+07  2.7456E+06 -2.7394E+06
0000297   7.8612E+07  2.9620E+06 -2.4004E+06
0000298   8.2768E+07  9.1984E+05  1.9769E+06
0000299   8.0370E+07 -5.3099E+04  9.5895E+05
0000300   8.1546E+07 -7.9083E+05 -2.4623E+06
0000301   7.9630E+07 -4.0718E+06  1.7081E+06
0000302   7.9756E+07 -1.8834E+06  7.7714E+05
0000303   8.0220E+07 -7.5818E+05  5.1032E+05
0000304   8.1423E+07 -2.2445E+06  5.6133E+05
0000305   8.0948E+07  3.1903E+06  1.1680E+06
0000306   8.1865E+07 -1.8576E+06 -3.3361E+05
0000307   8.1360E+07 -2.0075E+06  9.8366E+05
0000308   7.9791E+07 -1.1554E+06 -2.0459E+05
0000309   8.2249E+07 -1.1002E+06 -2.9931E+06
0000310   8.0618E+07 -2.9278E+04 -7.0557E+05
0000311   8.3329E+07 -2.6923E+04 -1.4378E+06
0000312   8.1560E+07  1.7404E+06  2.6023E+05
0000313   8.1376E+07  3.1134E+06  4.7290E+05
0000314   7.6468E+07 -1.2214E+06 -2.0404E+06
0000315   8.0152E+07 -1.1101E+06  4.2812E+05
0000316   7.9650E+07 -9.8260E+05  3.2314E+06
0000317   7.9880E+07 -6.1958E+05 -2.1967E+06
0000318   8.1500E+07  3.1216E+06 -2.1586E+06
0000319   8.1395E+07 -3.6999E+06 -3.1658E+05
0000320   8.1463E+07  2.2231E+06  6.0881E+05
0000321   7.9796E+07 -5.3271E+05  5.6112E+05
0000322   7.9327E+07 -1.2023E+06  3.1212E+05
0000323   8.0101E+07  3.4112E+05  9.8923E+04
0000324   8.2697E+07 -7.2033E+05  1.6640E+06
0000325   8.0223E+07  3.4501E+06  1.8051E+05
0000326   8.1995E+07  7.9387E+05 -1.1341E+06
0000327   8.0453E+07 -1.0942E+06  2.7491E+05
0000328   8.1350E+07  1.6896E+06  1.8795E+06
0000329   7.9165E+07  1.6223E+06  2.0430E+05
0000330   8.0609E+07  1.1334E+06 -2.7978E+06
0000331   8.2830E+07 -1.1814E+05 -2.4626E+06
0000332   7.9949E+07  5.4928E+05 -4.3292E+06
0000333   8.0950E+07  5.5595E+05  1.3340E+06
0000334   8.1531E+07  9.9843E+05 -2.1005E+06
0000335   7.8715E+07  2.0295E+06  8.8088E+05
0000336   8.1094E+07  5.3027E+05  7.7947E+05
0000337   8.0813E+07  4.6961E+05 -8.7057E+05
0000338   8.2472E+07 -7.2612E+05  9.8494E+05
0000339   8.1519E+07 -1.5156E+06  4.5800E+05
0000340   8.2491E+07  3.0970E+06 -1.5305E+06
0000341   7.9557E+07 -1.5806E+06  2.8065E+05
0000342   7.9964E+07  5.6859E+06 -3.1739E+05
0000343   7.8876E+07  2.9936E+05  2.2139E+06
0000344   8.1082E+07  1.5425E+06 -6.3148E+05
0000345   7.9456E+07 -2.2425E+06 -1.0057E+06
0000346   7.8776E+07 -3.0383E+06 -1.1829E+06
0000347   8.1178E+07 -4.7966E+05 -5.0962E+05
0000348   8.0686E+07 -4.3957E+06  3.3175E+06
0000349   8.0135E+07  1.9003E+06 -1.1887E+05
0000350   7.7514E+07  1.1525E+05  2.1796E+05
0000351   8.2944E+07  4.0637E+05 -1.3836E+06
0000352   8.0962E+07  1.2486E+05 -1.4905E+06
0000353   8.0948E+07  5.7758E+05  1.5563E+05
0000354   8.1734E+07  4.6000E+05  2.4455E+05
0000355   8.0880E+07 -4.1248E+06 -2.4055E+06
0000356   7.9375E+07  1.0986E+06  7.2562E+05
0000357   7.9917E+07  1.4648E+06  1.6549E+06
0000358   7.8414E+07 -1.2814E+06  1.2834E+06
0000359   8.1919E+07  5.6036E+05  1.8514E+06
0000360   8.0619E+07  1.9393E+05 -2.9507E+06
0000361   7.9237E+07  5.2846E+05 -2.8674E+05
0000362   7.8842E+07 -1.2569E+06 -2.1074E+06
0000363   8.0330E+07 -6.4346E+05 -9.3605E+05
0000364   8.0656E+07  2.6581E+06  2.4401E+05
0000365   7.9904E+07 -8.9117E+05 -1.1388E+06
0000366   8.1326E+07  1.9264E+06  4.1842E+06
0000367   8.1359E+07 -7.9005E+04 -4.7298E+06
0000368   7.9147E+07  1.1377E+06  3.3099E+05
0000369   8.0899E+07  3.6013E+06  1.8502E+06
0000370   8.1366E+07  1.9110E+05 -5.3185E+05
0000371   8.1409E+07 -1.8121E+06 -2.2004E+05
0000372   7.9723E+07 -1.2650E+06 -1.5368E+06
0000373   8.0205E+07 -8.2307E+05 -3.4887E+05
0000374   8.2433E+07 -1.9280E+06 -9.8230E+05
0000375   8.0522E+07  1.5154E+06  1.8948E+06
0000376   8.1871E+07 -2.2483E+06  5.8105E+05
0000377   8.1207E+07  1.9064E+05  4.9361E+05
0000378   8.4556E+07 -1.6475E+06 -6.6561E+05
0000379   8.1533E+07 -1.4284E+06 -1.9080E+06
0000380   7.4610E+07 -1.7820E+07  1.1822E+06
0000381   7.8090E+07 -5.9617E+05 -1.1032E+06
