============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 3800000.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Skin_Human (W&W type 1)
  Layer # 4 -  0 % of Na
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000081   8.5465E+07  5.6895E+06  3.5692E+07
0000244   9.7999E+07 -2.3945E+06  1.0824E+07
0000271   9.9447E+07  1.2329E+07 -7.8438E+06
0000326   8.4530E+07 -2.1251E+07  1.7208E+07
0000335   9.9780E+07  2.5544E+06  3.2414E+06
0000377   9.9311E+07 -3.9338E+06 -7.4790E+05
0000401   9.9841E+07 -7.6299E+05 -7.9545E+05
0000415   9.8828E+07 -1.3210E+05  1.5061E+06
0000472   9.9993E+07 -1.1006E+06 -8.6252E+05
0000587   9.8993E+07  2.1402E+06  1.4058E+06
0000617   9.2296E+07 -3.0189E+07 -6.2541E+06
0000786   9.8597E+07 -1.2581E+06 -8.8138E+06
0000806   7.9354E+07  1.3668E+07 -4.8370E+07
0000829   9.3675E+07  2.9155E+06  3.0437E+07
0000848   9.9972E+07 -1.5030E+07  8.7003E+06
0000879   9.9441E+07  2.9323E+06  5.1739E+06
0000904   9.7225E+07 -2.5420E+07 -3.4913E+06
0000976   9.9754E+07 -6.3276E+05  2.7562E+05
0001000   9.9714E+07 -6.4900E+04 -1.5005E+07
0001086   9.9157E+07 -1.7448E+06 -4.4344E+06
0001181   9.6817E+07  1.2938E+06  2.5688E+06
0001223   6.3003E+07  4.3337E+07  4.5449E+06
0001381   9.8611E+07  2.7926E+07 -1.3626E+07
0001440   9.3208E+07  4.8196E+06 -4.6501E+06
0001444   9.9075E+07  5.3737E+05 -3.6531E+05
0001465   9.9449E+07  2.5858E+06 -6.1397E+05
0001500   9.9497E+07 -3.1982E+06  2.0611E+07
0001506   9.8874E+07 -1.1342E+07 -1.6746E+07
0001520   9.9070E+07  7.7837E+06 -9.0894E+06
0001772   9.9529E+07  3.8103E+06 -4.9093E+05
0001886   9.9932E+07 -3.9440E+06 -9.7614E+05
0002048   9.9390E+07 -3.8584E+06  5.3099E+06
0002075   9.7389E+07 -5.9989E+05  8.7541E+06
0002119   9.8612E+07  7.8929E+06 -1.8328E+07
0002163   9.9913E+07 -1.5593E+05 -2.5917E+04
0002285   9.9984E+07 -1.9917E+06  9.5778E+05
0002330   9.9354E+07 -1.2634E+07 -2.1592E+07
0002383   9.9058E+07  1.3504E+06  8.2277E+04
0002584   9.9963E+07 -1.0805E+06  3.9375E+05
0002665   9.8771E+07  2.9836E+06 -2.9730E+06
0002719   9.8986E+07 -3.3693E+06 -4.3216E+06
0002783   9.9497E+07 -1.2215E+06  3.7947E+06
0002784   9.9894E+07 -2.2727E+06  2.1538E+06
0002841   9.5466E+07 -1.5397E+07  5.9199E+06
0002936   9.6706E+07  4.0173E+06 -2.5505E+06
0002959   9.9914E+07  4.2106E+06  2.5245E+06
0003008   8.5453E+07 -3.7835E+07 -5.2792E+06
0003019   9.8405E+07 -8.3052E+06 -8.2625E+06
0003127   9.9807E+07 -2.2385E+06 -2.0545E+06
0003167   9.9588E+07  1.2789E+06  3.2950E+06
0003303   9.5385E+07  8.4984E+06  3.0353E+07
0003522   9.7864E+07  1.6305E+07 -9.7671E+06
0003658   9.8289E+07 -2.4181E+07  5.7864E+06
0003736   9.7879E+07 -2.7550E+05 -2.8155E+07
0003843   9.9685E+07 -8.0071E+06  1.1670E+07
0003950   9.9362E+07 -2.4881E+06  6.7174E+05
0003971   9.6626E+07  2.5783E+07  2.1326E+06
0003981   9.9588E+07  1.8287E+06 -2.2745E+06
0004001   9.8295E+07 -9.5436E+05  1.7426E+06
0004014   9.9843E+07 -7.0857E+06  5.9360E+06
0004073   9.8538E+07  5.7820E+06 -9.7706E+06
0004085   9.9924E+07  1.1548E+05 -2.0634E+06
0004107   9.9739E+07 -3.6464E+06  5.1540E+05
0004117   9.9941E+07  7.2886E+05 -6.2195E+05
0004158   9.6146E+07  3.8370E+06 -2.8466E+07
0004247   9.9442E+07  5.8031E+05  2.2825E+06
0004367   9.9246E+07 -1.2311E+07 -1.1031E+07
0004469   9.8632E+07  6.8607E+06  2.4584E+06
0004730   9.9554E+07  2.6472E+06  1.1117E+07
0004755   9.9340E+07 -1.8826E+06 -1.9408E+06
0004767   9.9029E+07  6.6619E+06  2.2157E+06
0004954   9.8449E+07 -1.3322E+06 -1.0626E+07
0005117   9.9695E+07 -3.1710E+06  5.3471E+06
0005118   9.8449E+07  3.5455E+06 -9.2510E+04
0005135   9.9427E+07 -1.3689E+05  4.8681E+06
0005267   9.9745E+07 -5.4454E+05 -1.0286E+06
0005303   9.9609E+07  4.3654E+05  6.8454E+05
0005407   9.9678E+07 -1.1421E+06  3.4034E+05
0005503   9.9305E+07 -7.4018E+06 -3.4522E+06
0005588   9.4898E+07  2.5242E+07 -2.1210E+06
0005612   3.0561E+07 -4.6746E+07 -1.7138E+07
0005695   9.9483E+07 -6.3024E+05  2.4078E+06
0005768   9.1031E+07  1.6573E+07 -7.9945E+06
0005793   9.9324E+07  4.6078E+05 -1.3012E+06
0005823   9.9555E+07 -1.3901E+06 -2.5571E+05
0005884   9.7769E+07  1.7549E+07  9.9211E+06
0005903   9.9372E+07 -1.7916E+06  1.9211E+06
0006010   9.9884E+07 -4.5891E+05 -4.4492E+06
0006148   9.8417E+07 -2.1509E+07  7.4125E+06
0006170   9.9500E+07 -1.2088E+06 -1.1816E+07
0006189   9.6593E+07 -2.0982E+07  1.7901E+07
0006259   9.9989E+07 -2.9253E+06  7.0525E+06
0006302   9.9898E+07  3.8751E+06  1.5865E+06
0006340   9.9691E+07 -3.1348E+05  4.7752E+05
0006664   9.9556E+07  6.3554E+05 -6.6746E+05
0006737   9.0219E+07  3.0804E+07 -1.1220E+07
0006771   9.9875E+07 -4.3267E+06 -1.9217E+06
0006791   9.9658E+07 -1.6843E+07 -4.0869E+06
0006940   9.9848E+07  1.6832E+06 -1.3427E+06
0007139   9.5715E+07  2.0647E+07  1.4186E+07
0007208   9.9495E+07 -1.2909E+06 -3.0316E+05
0007291   6.1964E+07 -3.8661E+05 -4.7278E+07
0007392   9.9824E+07  9.3957E+05 -1.5091E+05
0007456   9.9861E+07 -4.1823E+06 -6.3019E+05
0007527   9.9969E+07 -5.6118E+05 -9.9222E+05
0007551   9.9402E+07  5.5218E+05 -4.1024E+06
0007557   9.8676E+07  3.6124E+06  1.3729E+06
0007658   9.6959E+07 -2.5971E+07  3.4384E+06
0007696   9.9624E+07  1.1609E+06 -1.6196E+06
0007738   9.9743E+07 -2.5740E+06 -1.7455E+05
0007740   9.9849E+07  6.0431E+06  2.0897E+06
0007982   9.9952E+07 -1.8807E+05 -2.9257E+06
0008054   9.9918E+07  9.5897E+06  1.4705E+06
0008153   9.9623E+07 -1.1676E+07 -1.1525E+07
0008156   9.8858E+07  2.1013E+06  9.0026E+05
0008309   9.9947E+07 -8.1208E+06 -1.1822E+06
0008319   9.9180E+07  1.2385E+06 -2.7225E+06
0008371   9.9748E+07 -2.9231E+06 -7.5602E+05
0008516   9.8685E+07  1.4144E+06 -2.1698E+05
0008578   9.9492E+07  3.1796E+06  9.6458E+05
0008610   9.9957E+07 -8.5465E+05 -5.3356E+05
0008736   9.9504E+07 -2.6091E+06 -3.6950E+06
0008746   9.7509E+07  1.1505E+07  1.7351E+07
0009006   9.9107E+07  1.1784E+07  1.1379E+07
0009165   9.9702E+07  4.1362E+04  2.2069E+06
0009251   9.9685E+07 -2.2817E+06 -2.7586E+06
0009345   9.9603E+07  1.8113E+06  1.5662E+06
0009383   9.9417E+07 -1.1921E+06 -5.2766E+06
0009470   9.9576E+07  1.5965E+06 -2.2495E+05
0009504   9.9620E+07 -3.1737E+06  1.4258E+06
0009535   9.9037E+07  2.6338E+06  1.5090E+07
0009723   9.3999E+07 -1.2513E+07  1.2944E+07
0009761   9.8388E+07 -6.4285E+06  1.8782E+07
0009809   9.8814E+07 -3.2595E+06  6.3836E+05
0009901   9.9746E+07  6.4088E+06 -8.1020E+06
0009950   8.7056E+07  3.7284E+07  2.5975E+07
0009983   9.9743E+07  2.4877E+06 -2.5742E+06
0009994   9.9960E+07  3.0487E+06  2.4060E+06
